rep,c,theta,se,cover,term_a,term_c,term_b,rmse_l,rmse_m,prod_stat
24,10,0.6360182870155163,0.041742107172558544,0,-0.04585824085503685,0.026186507387569925,0.1556900204829832,0.7858128164568214,0.5558057626328575,23.58045110667622
24,30,1.2189547294314413,0.06334212536207921,0,-0.043488988337152625,0.04038979316648153,0.7220539246021124,1.7584837950158803,0.5971104616388688,44.479015607696255
24,100,1.2876468643042764,0.06305867088048987,0,-0.04289013878846276,0.04268262793407209,0.7878543751586672,1.8397001429329245,0.607550317991264,47.01762322982069
25,1,0.5640798554620258,0.03901611988996946,1,0.05600264561304258,0.009496887428161703,-0.0014196775791786081,0.1025259615953161,0.04352285232362477,0.20100894492282376
25,3,0.5907622580418235,0.03924683782020292,0,0.05398057229973881,0.01688927498981098,0.019892410752273677,0.22855282266833624,0.13321643076244666,1.5240157216010493
25,10,0.8095987899089185,0.04037215029041322,0,0.038023070490742404,0.04630631091602011,0.22526940850215596,0.8444574977811671,0.49813653089310134,21.149159046520356
25,30,1.4054665061823763,0.06428072618045234,0,0.03367689774858275,0.08793163028335131,0.7838579781504426,1.9054915444111615,0.5941882867233006,46.968692690302525
25,100,1.4054665061823763,0.06428072618045234,0,0.03367689774858275,0.08793163028335131,0.7838579781504426,1.9054915444111615,0.5941882867233006,46.968692690302525
26,1,0.505348360501628,0.043724794794283636,1,-0.004859738736941674,0.00854293529809235,0.0016651639404772535,0.14126700577646284,0.060098292922103114,0.3826896941392817
26,3,0.5419990532757849,0.043951630078107574,1,-0.004694204226382637,0.016961082423159784,0.029732175079007814,0.2693066033515824,0.13992683222570412,1.8108067802661718
26,10,0.7765483302334703,0.045640103645245234,0,-0.003332087881321928,0.03465832763431412,0.24522209048047808,0.875398001346327,0.48645608194109496,20.949526661621682
26,30,1.4166868758551827,0.06874292919238009,0,-0.002793373066422473,0.05557016814910519,0.8639100807725,1.961801972340143,0.6272833597029228,51.358239856618255
26,100,1.4166868758551827,0.06874292919238009,0,-0.002793373066422473,0.05557016814910519,0.8639100807725,1.961801972340143,0.6272833597029228,51.358239856618255
27,1,0.4789000835639891,0.04189620080736054,1,-0.023536774323958197,0.00019594040820568437,0.002240917479741665,0.13981857623214206,0.08317556670585291,0.5865286418260345
