rep,oracle_theta,oracle_se,oracle_cover,armA_theta,armA_se,armA_cover,armA_term_a,armA_term_b,armB_theta,armB_se,armB_cover,armB_term_a,armB_term_c,armB_term_b,armB_r2_l_in,armBsym_theta,armBsym_se,armBsym_cover,armBsym_term_a,armBsym_term_c,armBsym_term_b,armC_theta,armC_se,armC_cover,armC_term_a,armC_term_c,armC_term_b,armC_rmse_l,armC_rmse_m
246,0.5595648517257221,0.0429649752748717,1,0.5548245069482028,0.0572329162635904,1,-0.012764100218033503,0.0675886071662364,0.33349533530820424,0.029117699153411895,0,0.05473737575394039,-0.19857776600867794,-0.022664274437058086,0.8276176890079548,0.5433559619360203,0.0461947023205073,1,0.13896497967142832,-0.09397283296873497,-0.0016361847666730483,0.5381393951265374,0.04697079356416733,1,0.0558242805013047,-0.0023627897428401975,-0.015322095631926923,0.4593184482562528,0.17910810539991606
247,0.4487548828041909,0.040837939463637056,1,0.5406406066353343,0.05179436049424848,1,-0.03258327373991377,0.07322388037524799,0.27927372370887604,0.02669625136850953,0,-0.04695052520795121,-0.15523092437477462,-0.018544826708398136,0.8381918246626183,0.4451257889353661,0.04352558951608853,1,-0.12138274592285762,0.09257345406673463,-0.02606491920851088,0.43470425965715304,0.04167391994788561,1,-0.04709993030180458,-0.012205006572790618,-0.005990803468251841,0.41834157826144897,0.19662954584074838
248,0.4998117704324247,0.041578681338222664,1,0.5172604367989965,0.05100972429111134,1,-0.042019761976811475,0.059280198775807834,0.3098262097040442,0.028256722434319405,0,-0.0001744004666495394,-0.17391911464652837,-0.01608027518277799,0.8381664401279023,0.48877573926448076,0.045097495598853454,1,-0.00043788016141382526,-0.003736177389114701,-0.007050203184990791,0.5189967581230596,0.044137606514021634,1,-0.00017418802781548836,0.02095247582667573,-0.001781529675800803,0.41308848841697665,0.18944529562919263
249,0.43052057437220287,0.044610001604729,1,0.4691664459483241,0.05566651749125185,1,-0.05325907764093276,0.022425523589256768,0.2676942852925634,0.029031584463030228,0,-0.06425666101556496,-0.14605714462262706,-0.021991909069244604,0.8399690145214835,0.43085879270562266,0.04608160985127674,1,-0.1606808007750749,0.1374191321089035,-0.04587953862820595,0.4282730689043177,0.04529701098510509,1,-0.06353281767676723,0.014185011582698432,-0.022379125001613383,0.4029341755091999,0.18372378513224472
250,0.49022855459445913,0.043468100948278646,1,0.5959692412887516,0.05388660812192436,1,0.018778929194436373,0.07719031209431529,0.31007016178787167,0.027868292152903085,0,-0.00924005820295738,-0.16181846150112209,-0.018871318508048854,0.8558810603274909,0.4951190329911793,0.04454913161440536,1,-0.023505200976632983,0.037834199376537314,-0.01920996540872499,0.491364131811758,0.04300896380116698,1,-0.009399395305012227,0.008216936045799761,-0.0074534089290295685,0.4169376136413882,0.1984307152762129
251,0.4321805132789375,0.04298237622320959,1,0.5106627688181188,0.051207838338547175,1,-0.005479962245748711,0.01614273106386751,0.28229424849650836,0.028439982096342915,0,-0.06400999710866657,-0.12948278467622776,-0.024212969718597273,0.8378262274688832,0.44884309033875514,0.04539653919246087,1,-0.1606135922847186,0.1572303133107164,-0.04777363068724269,0.4539237814360103,0.04427875321058176,1,-0.06439182913786554,0.018636672369994774,-0.0003210617961190963,0.4505034310684162,0.19559918948547408
252,0.5006378631000793,0.039564835323697554,1,0.6177506184423696,0.05103248141073172,0,-0.002665428978740603,0.1204160474211103,0.32855604989719916,0.02675259741016956,0,0.0006015110626538227,-0.1527470808020859,-0.019298380363368842,0.8384087311126451,0.5158322505238588,0.04219983510076761,1,0.0014895582185235478,0.04095565447808436,-0.026612962172748982,0.5137260873410403,0.04213224051188119,1,0.0005971111793083544,0.01793367970673707,-0.004804703545005157,0.421704326991901,0.19220356366435845
253,0.5177821980885811,0.042193946581252195,1,0.49213962862731725,0.05575520924073059,1,-0.036079573881010796,0.02821920250832801,0.3079239472784195,0.02872173149101058,0,0.01661983781353213,-0.19651374867361776,-0.012182141861494794,0.8239972424555196,0.4958319157042277,0.0454587473565313,1,0.04121884002316237,-0.06431779169634656,0.018930867377411807,0.5021844072911679,0.04474992176923619,1,0.016433633556104884,-0.020780050495725927,0.006530824230788985,0.4276205412937823,0.17843377928646184
254,0.4743479467788143,0.04161341294299283,1,0.43936478141957663,0.0532914484988415,1,-0.020524938405247398,-0.04011028017517591,0.3019968258793165,0.028993463072689803,0,-0.024553686589628546,-0.15757084353197845,-0.015878643999076403,0.8472349633521857,0.47968055525224457,0.046641170373398724,1,-0.06128274805791051,0.05438533321891868,-0.013422029908763641,0.4904523500835965,0.044496784542332773,1,-0.024164143855005288,0.010084713781031403,0.0045317801575704185,0.47273713700921677,0.20735083773464735
255,0.4660476935983694,0.04183262436254871,1,0.5819223654887896,0.052769737511313274,1,0.0007887259646160366,0.08113363952417353,0.29532365507232367,0.0279817657738821,0,-0.031943856103563234,-0.1395708716930515,-0.03316161713106163,0.8367120334185411,0.4669756677282975,0.044460941905684594,1,-0.08022406669249858,0.10798067727276331,-0.060780942851967126,0.4974417315813652,0.04438231283379506,1,-0.03248526607093266,0.059800602073468434,-0.02987360442117057,0.420624923268857,0.18691867068742943
